Complex refractive index of Mg1.9Fe0.1SiO4 in the range from NIR to UV.
obtained from transmission and reflection of  thin sections (crystallographically non-oriented)


A (cm-1)	n.oliv.vis	k.oliv.vis
39723.34466893	1.65281671	0.00088117
39769.15383077	1.65314823	0.00089202
39814.9629926	1.65347974	0.00090287
39860.77215443	1.65381125	0.00091372
39906.58131626	1.65414277	0.00092457
39952.3904781	1.65447428	0.00093542
39998.19963993	1.6548058	0.00094627
40044.00880176	1.65513731	0.00095713
40089.81796359	1.65546882	0.00096798
40135.62712543	1.65580034	0.00097883
40181.43628726	1.65613185	0.00098968
40227.24544909	1.65646336	0.00100123
40273.05461092	1.65679488	0.00102627
40318.86377275	1.65712639	0.0010513
40364.67293459	1.6574579	0.00107634
40410.48209642	1.65778942	0.00110138
40456.29125825	1.65812093	0.00112642
40502.10042008	1.65845244	0.00115146
40547.90958192	1.65879437	0.0011765
40593.71874375	1.65921205	0.00120154
40639.52790558	1.65962972	0.00122658
40685.33706741	1.6600474	0.00125161
40731.14622925	1.66046507	0.00127665
40776.95539108	1.66088274	0.00130169
40822.76455291	1.66130042	0.00132673
40868.57371474	1.66171809	0.00135177
40914.38287658	1.66213577	0.00137681
40960.19203841	1.66255344	0.00140185
41006.00120024	1.66297112	0.00142689
41051.81036207	1.66338879	0.00145192
41097.6195239	1.66380646	0.00147696
41143.42868574	1.66422414	0.001502
41189.23784757	1.66464181	0.00152704
41235.0470094	1.66505949	0.00155208
41280.85617123	1.66547716	0.00157712
41326.66533307	1.66589484	0.00160216
41372.4744949	1.66631251	0.0016272
41418.28365673	1.66673019	0.00165224
41464.09281856	1.6672012	0.00167727
41509.9019804	1.66772323	0.00170231
41555.71114223	1.66824526	0.00172735
41601.52030406	1.66876729	0.00175239
41647.32946589	1.66928931	0.00177743
41693.13862773	1.66981134	0.00180247
41738.94778956	1.67033337	0.00182751
41784.75695139	1.6708554	0.00185255
41830.56611322	1.67137743	0.00187758
41876.37527506	1.67189946	0.00190262
41922.18443689	1.67242149	0.00192766
41967.99359872	1.67294352	0.0019527
42013.80276055	1.67346554	0.00197774
42059.61192238	1.67398757	0.00200278
42105.42108422	1.6745096	0.00202782
42151.23024605	1.67503163	0.00205286
42197.03940788	1.67555366	0.00207789
42242.84856971	1.67607569	0.00210293
42288.65773155	1.67659772	0.00212797
42334.46689338	1.67711975	0.00215301
42380.27605521	1.67775349	0.00217805
42426.08521704	1.67839945	0.00220309
42471.89437888	1.67904541	0.00222813
42517.70354071	1.67969138	0.00225317
42563.51270254	1.68033734	0.0022782
42609.32186437	1.6809833	0.00230324
42655.13102621	1.68162927	0.00232828
42700.94018804	1.68227523	0.00235332
42746.74934987	1.68292119	0.00237836
42792.5585117	1.68356715	0.0024034
42838.36767353	1.68421312	0.00242844
42884.17683537	1.68485908	0.00245348
42929.9859972	1.68550504	0.00247851
42975.79515903	1.686151	0.0025203
43021.60432086	1.68679697	0.00257627
43067.4134827	1.68744293	0.00263224
43113.22264453	1.68808889	0.00268821
43159.03180636	1.68873485	0.00274418
43204.84096819	1.68938082	0.00280015
43250.65013003	1.69006865	0.00285612
43296.45929186	1.69085815	0.00291209
43342.26845369	1.69164764	0.00296806
43388.07761552	1.69243714	0.00302403
43433.88677736	1.69322664	0.00308
43479.69593919	1.69401614	0.00313597
43525.50510102	1.69480564	0.00319194
43571.31426285	1.69559514	0.00324791
43617.12342468	1.69638464	0.00330388
43662.93258652	1.69717413	0.00335985
43708.74174835	1.69796363	0.00341582
43754.55091018	1.69875313	0.00347179
43800.36007201	1.69954263	0.00352776
43846.16923385	1.70033213	0.00358373
43891.97839568	1.70112163	0.0036397
43937.78755751	1.70191113	0.00369567
43983.59671934	1.70270062	0.00375164
44029.40588118	1.70349012	0.00380761
44075.21504301	1.70427962	0.00386358
44121.02420484	1.70506912	0.00391955
44166.83336667	1.7059684	0.00397552
44212.64252851	1.70691888	0.00403149
44258.45169034	1.70786936	0.00408746
44304.26085217	1.70881984	0.00414343
44350.070014	1.70977032	0.0041994
44395.87917584	1.7107208	0.00425537
44441.68833767	1.71167127	0.00431134
44487.4974995	1.71262175	0.00436731
44533.30666133	1.71357223	0.00442328
44579.11582316	1.71452271	0.00447925
44624.924985	1.71547319	0.00453522
44670.73414683	1.71642367	0.00459119
44716.54330866	1.71737415	0.00464716
44762.35247049	1.71832463	0.00470313
44808.16163233	1.71927511	0.0047591
44853.97079416	1.72022558	0.00481507
44899.77995599	1.72117606	0.00487104
44945.58911782	1.72212654	0.00492701
44991.39827966	1.72307702	0.00498298
45037.20744149	1.72404001	0.00503895
45083.01660332	1.72516373	0.00509492
45128.82576515	1.72628745	0.00515089
45174.63492699	1.72741116	0.00520686
45220.44408882	1.72853488	0.00526283
45266.25325065	1.72965859	0.0053188
45312.06241248	1.73078231	0.00537477
45357.87157431	1.73190603	0.00543075
45403.68073615	1.73302974	0.00553196
45449.48989798	1.73415346	0.00573943
45495.29905981	1.73527717	0.0059469
45541.10822164	1.73640089	0.00615437
45586.91738348	1.73752461	0.00636184
45632.72654531	1.73864832	0.00656931
45678.53570714	1.73977204	0.00677678
45724.34486897	1.74089575	0.00698425
45770.15403081	1.74201947	0.00719172
45815.96319264	1.74314318	0.00739919
45861.77235447	1.7442669	0.00760666
45907.5815163	1.74539062	0.00781413
45953.39067814	1.74659605	0.0080216
45999.19983997	1.74789643	0.00822907
46045.0090018	1.74919682	0.00843654
46090.81816363	1.75049721	0.00864401
46136.62732547	1.7517976	0.00885148
46182.4364873	1.75309799	0.00905895
46228.24564913	1.75439838	0.00926642
46274.05481096	1.75569877	0.00947389
46319.86397279	1.75699916	0.00968136
46365.67313463	1.75829955	0.00988883
46411.48229646	1.75959993	0.0100963
46457.29145829	1.76090032	0.01030377
46503.10062012	1.76220071	0.01051124
46548.90978196	1.7635011	0.01071871
46594.71894379	1.76480149	0.01092617
46640.52810562	1.76610188	0.01113364
46686.33726745	1.76740227	0.01134111
46732.14642929	1.76870266	0.01154858
46777.95559112	1.77000305	0.01175605
46823.76475295	1.77130344	0.01196352
46869.57391478	1.77274683	0.01217099
46915.38307662	1.7742149	0.01237846
46961.19223845	1.77568298	0.01258593
47007.00140028	1.77715105	0.0127934
47052.81056211	1.77861913	0.01300087
47098.61972394	1.7800872	0.01320834
47144.42888578	1.78155528	0.01341581
47190.23804761	1.78302335	0.01362328
47236.04720944	1.78449143	0.01383075
47281.85637127	1.78595951	0.01403822
47327.66553311	1.78742758	0.01424569
47373.47469494	1.78889566	0.01445316
47419.28385677	1.79036373	0.01466063
47465.0930186	1.79183181	0.0148681
47510.90218044	1.79329988	0.01507557
47556.71134227	1.79476796	0.01528306
47602.5205041	1.79623604	0.01549061
47648.32966593	1.79770411	0.01569817
47694.13882777	1.79917219	0.01590572
47739.9479896	1.8006752	0.01611327
47785.75715143	1.80228702	0.01632083
47831.56631326	1.80389884	0.01652838
47877.3754751	1.80551066	0.01673593
47923.18463693	1.80712248	0.01694348
47968.99379876	1.8087343	0.01715104
48014.80296059	1.81034612	0.01735859
48060.61212242	1.81195795	0.01756614
48106.42128426	1.81356977	0.01777369
48152.23044609	1.81518159	0.01798125
48198.03960792	1.81679341	0.0181888
48243.84876975	1.81840523	0.01839635
48289.65793159	1.82001705	0.01860391
48335.46709342	1.82162887	0.01881146
48381.27625525	1.82324069	0.01901901
48427.08541708	1.82485251	0.01922656
48472.89457892	1.82646433	0.01943412
48518.70374075	1.82807615	0.01964167
48564.51290258	1.82968797	0.01984922
48610.32206441	1.83129979	0.02005677
48656.13122625	1.83297783	0.02026433
48701.94038808	1.83469419	0.02047188
48747.74954991	1.83641056	0.02067943
48793.55871174	1.83812693	0.02088699
48839.36787357	1.83984329	0.02109454
48885.17703541	1.84155966	0.02130209
48930.98619724	1.84327603	0.02150964
48976.79535907	1.84499239	0.02174759
49022.6045209	1.84670876	0.02232195
49068.41368274	1.84842513	0.02289632
49114.22284457	1.85014149	0.02347069
49160.0320064	1.85185786	0.02404506
49205.84116823	1.85357423	0.02461942
49251.65033007	1.85529059	0.02519379
49297.4594919	1.85700696	0.02576816
49343.26865373	1.85872333	0.02651395
49389.07781556	1.86043969	0.0272698
49434.8869774	1.86215606	0.02802565
49480.69613923	1.86387243	0.0287815
49526.50530106	1.86559004	0.02953735
49572.31446289	1.86735926	0.0302932
49618.12362472	1.86912848	0.03104905
49663.93278656	1.8708977	0.0318049
49709.74194839	1.87266692	0.03256075
49755.55111022	1.87443614	0.0333166
49801.36027205	1.87620536	0.03407245
49847.16943389	1.87797458	0.0348283
49892.97859572	1.8797438	0.03558416
49938.78775755	1.88151302	0.03634001
49984.59691938	1.88328224	0.03709586
50030.40608122	1.88505146	0.03785171

